Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,1996-02-06 04:00:00,12.67,12.67,Menor_a_12.83,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-02-28 12:00:00,28.87,28.87,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-02-28 13:00:00,28.98,28.98,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-02-28 14:00:00,29.11,29.11,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-02-27 12:00:00,29.08,29.08,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-02-27 13:00:00,29.57,29.57,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-02-27 14:00:00,29.4,29.4,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-02-05 11:00:00,29.38,29.38,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-02-05 12:00:00,29.67,29.67,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-02-05 13:00:00,29.38,29.38,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-02-05 14:00:00,28.95,28.95,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-02-05 15:00:00,28.57,28.57,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-02-26 13:00:00,28.5,28.5,Mayor_a_28.32,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-02-26 14:00:00,28.5,28.5,Mayor_a_28.32,dato_sospechoso,
