Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,1996-03-07 14:00:00,27.87,27.87,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1996-03-18 13:00:00,27.56,27.56,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1996-03-18 14:00:00,27.51,27.51,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-01 11:00:00,28.16,28.16,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-01 12:00:00,29.62,29.62,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-01 13:00:00,29.87,29.87,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-01 14:00:00,28.64,28.64,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-01 15:00:00,27.96,27.96,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-08 11:00:00,27.65,27.65,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-08 12:00:00,28.45,28.45,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-08 13:00:00,28.86,28.86,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-08 14:00:00,28.79,28.79,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-08 15:00:00,27.63,27.63,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-09 12:00:00,28.15,28.15,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-03-09 13:00:00,28.2,28.2,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1999-03-14 11:00:00,27.94,27.94,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1999-03-14 12:00:00,28.75,28.75,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1999-03-14 13:00:00,28.08,28.08,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,1999-03-14 14:00:00,27.53,27.53,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-29 10:00:00,28.05,28.05,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-29 11:00:00,28.61,28.61,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-29 12:00:00,27.48,27.48,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-29 13:00:00,27.65,27.65,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-29 14:00:00,27.68,27.68,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-30 11:00:00,27.42,27.42,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-30 12:00:00,28.41,28.41,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-31 10:00:00,28.04,28.04,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-03-31 11:00:00,28.5,28.5,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2003-03-20 12:00:00,28.11,28.11,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2003-03-20 13:00:00,28.19,28.19,Mayor_a_27.37,dato_sospechoso,
