Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,2004-04-09 11:00:00,28.3,28.3,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2004-04-10 15:00:00,28.48,28.48,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-04-27 12:00:00,28.34,28.34,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-04-27 13:00:00,28.61,28.61,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-04-08 11:00:00,28.46,28.46,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-04-20 12:00:00,28.01,28.01,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2007-04-19 13:00:00,28.16,28.16,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-04-18 11:00:00,28.32,28.32,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-04-18 12:00:00,28.96,28.96,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-04-18 13:00:00,28.48,28.48,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-04-24 12:00:00,28.35,28.35,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-04-24 13:00:00,28.82,28.82,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-04-25 10:00:00,28.07,28.07,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-04-01 12:00:00,28.15,28.15,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-04-01 13:00:00,29.4,29.4,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-04-01 14:00:00,28.44,28.44,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-04-27 11:00:00,28.41,28.41,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-04-27 12:00:00,28.26,28.26,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-04-28 12:00:00,28.47,28.47,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-04-28 13:00:00,29.43,29.43,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-04-28 14:00:00,29.54,29.54,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-04-29 12:00:00,28.26,28.26,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-04-01 13:00:00,28.3,28.3,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-04-01 14:00:00,28.1,28.1,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-04-02 14:00:00,28.2,28.2,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-04-02 15:00:00,28.1,28.1,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-04-26 11:00:00,28.4,28.4,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-04-03 12:00:00,28.6,28.6,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-04-03 12:00:00,28.6,28.6,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-04-03 13:00:00,28.1,28.1,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-04-05 14:00:00,28.0,28.0,Mayor_a_27.95,dato_sospechoso,
Temp.degC.avg.1h.s1,2021-04-11 11:00:00,28.8,28.8,Mayor_a_27.95,dato_sospechoso,
