Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,1997-06-03 10:00:00,27.94,27.94,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-06-24 12:00:00,27.9,27.9,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2001-06-01 12:00:00,28.6,28.6,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-06-12 11:00:00,28.59,28.59,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2009-06-07 11:00:00,27.66,27.66,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-06-24 11:00:00,27.62,27.62,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-06-09 12:00:00,28.18,28.18,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-06-30 11:00:00,28.06,28.06,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2012-06-03 14:00:00,28.06,28.06,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2012-06-20 13:00:00,28.02,28.02,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2012-06-25 12:00:00,27.57,27.57,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2012-06-25 13:00:00,27.78,27.78,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-06-04 10:00:00,27.95,27.95,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-06-04 11:00:00,28.62,28.62,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-06-17 11:00:00,28.42,28.42,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-06-08 14:00:00,27.7,27.7,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-04 11:00:00,27.7,27.7,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-06 11:00:00,27.7,27.7,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-11 11:00:00,27.7,27.7,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-11 12:00:00,29.0,29.0,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-11 13:00:00,28.6,28.6,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-13 11:00:00,27.6,27.6,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-13 12:00:00,28.6,28.6,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-13 13:00:00,27.7,27.7,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-14 12:00:00,27.7,27.7,Mayor_a_27.52,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-06-21 11:00:00,27.6,27.6,Mayor_a_27.52,dato_sospechoso,
