Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,1997-08-01 12:00:00,27.19,27.19,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-08-01 13:00:00,27.43,27.43,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-08-14 13:00:00,27.35,27.35,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-08-30 11:00:00,27.19,27.19,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-08-30 12:00:00,27.37,27.37,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-08-30 13:00:00,27.34,27.34,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2003-08-31 12:00:00,27.91,27.91,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2003-08-31 13:00:00,28.31,28.31,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-08-17 11:00:00,27.82,27.82,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-08-29 11:00:00,27.59,27.59,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-08-30 13:00:00,27.2,27.2,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2007-08-15 13:00:00,27.25,27.25,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2007-08-20 11:00:00,27.63,27.63,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-08-10 10:00:00,28.25,28.25,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-08-04 13:00:00,27.2,27.2,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-08-07 14:00:00,28.16,28.16,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-08-07 15:00:00,27.33,27.33,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2011-08-26 11:00:00,28.88,28.88,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2012-08-10 12:00:00,27.52,27.52,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2012-08-27 13:00:00,27.39,27.39,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-08-02 13:00:00,27.2,27.2,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2019-08-27 15:00:00,27.5,27.5,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-08-01 11:00:00,27.4,27.4,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-08-01 12:00:00,28.2,28.2,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-08-01 14:00:00,27.5,27.5,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-08-02 11:00:00,27.4,27.4,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-08-02 12:00:00,28.1,28.1,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-08-02 13:00:00,28.0,28.0,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-08-09 13:00:00,27.2,27.2,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-08-17 12:00:00,28.1,28.1,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-08-29 12:00:00,28.0,28.0,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-08-29 13:00:00,27.3,27.3,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-08-30 12:00:00,27.7,27.7,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-08-30 13:00:00,28.3,28.3,Mayor_a_27.19,dato_sospechoso,
Temp.degC.avg.1h.s1,2023-08-30 15:00:00,27.6,27.6,Mayor_a_27.19,dato_sospechoso,
