Elemento,Fecha,Fecha_Especifica,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.max.dm.s1,1996-10-15 07:00:00,1996-10-14 08:00:00,20.37,20.37,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,1999-10-26 07:00:00,1999-10-25 09:43:00,20.4,20.4,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2000-10-01 07:00:00,2000-09-30 11:05:00,20.42,20.42,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2005-10-26 07:00:00,2005-10-25 13:39:00,20.39,20.39,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2005-10-27 07:00:00,2005-10-26 10:38:00,19.59,19.59,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2007-10-10 07:00:00,2007-10-09 15:36:00,19.91,19.91,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2008-10-16 07:00:00,2008-10-15 13:37:00,19.63,19.63,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2011-10-17 07:00:00,2011-10-16 09:05:00,19.24,19.24,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2011-10-18 07:00:00,2011-10-17 08:10:00,18.95,18.95,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2011-10-19 07:00:00,2011-10-18 11:17:00,19.98,19.98,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2011-10-22 07:00:00,2011-10-21 08:05:00,20.42,20.42,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2017-10-06 07:00:00,2017-10-05 11:40:00,18.9,18.9,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2018-10-06 07:00:00,2018-10-05 15:03:00,19.6,19.6,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2022-10-10 07:00:00,2022-10-09 12:02:00,19.0,19.0,Menor_a_20.44,dato_sospechoso,
Temp.degC.max.dm.s1,2017-10-08 07:00:00,2017-10-07 10:38:00,29.8,29.8,Mayor_a_29.58,dato_sospechoso,
Temp.degC.min.dm.s1,2007-10-23 07:00:00,2007-10-23 02:14:00,14.16,14.16,Menor_a_14.33,dato_sospechoso,
Temp.degC.min.dm.s1,1997-10-25 07:00:00,1997-10-24 07:00:00,20.1,20.1,Mayor_a_19.92,dato_sospechoso,
