Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,1997-10-01 10:00:00,27.03,27.03,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-10-01 11:00:00,27.97,27.97,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-10-01 12:00:00,27.02,27.02,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-10-03 13:00:00,27.45,27.45,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-10-08 11:00:00,26.93,26.93,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-10-08 12:00:00,27.23,27.23,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-10-26 13:00:00,27.64,27.64,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-10-26 14:00:00,27.63,27.63,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2004-10-08 10:00:00,27.39,27.39,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-10-12 11:00:00,27.15,27.15,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2012-10-01 14:00:00,26.93,26.93,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2014-10-01 12:00:00,27.24,27.24,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-10-23 12:00:00,27.1,27.1,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-10-07 10:00:00,27.2,27.2,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-10-07 11:00:00,28.8,28.8,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-10-07 12:00:00,27.7,27.7,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-10-12 12:00:00,27.3,27.3,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-10-18 13:00:00,27.5,27.5,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-10-18 12:00:00,27.0,27.0,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2020-10-18 13:00:00,27.9,27.9,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2021-10-12 13:00:00,27.0,27.0,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2022-10-04 11:00:00,27.1,27.1,Mayor_a_26.93,dato_sospechoso,
Temp.degC.avg.1h.s1,2022-10-04 12:00:00,27.8,27.8,Mayor_a_26.93,dato_sospechoso,
