Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,2006-11-22 01:00:00,13.87,13.87,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 02:00:00,13.53,13.53,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 03:00:00,13.62,13.62,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 04:00:00,13.42,13.42,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 05:00:00,13.39,13.39,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 06:00:00,13.51,13.51,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 07:00:00,13.4,13.4,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 08:00:00,12.89,12.89,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-22 09:00:00,13.68,13.68,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-23 05:00:00,13.87,13.87,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2006-11-23 06:00:00,13.64,13.64,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2008-11-20 01:00:00,13.69,13.69,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2008-11-20 02:00:00,13.52,13.52,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2008-11-20 03:00:00,13.72,13.72,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,2008-11-20 05:00:00,13.78,13.78,Menor_a_13.92,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-02 12:00:00,26.05,26.05,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-02 13:00:00,26.78,26.78,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-02 14:00:00,26.91,26.91,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-04 11:00:00,26.12,26.12,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-04 12:00:00,26.71,26.71,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-06 11:00:00,25.93,25.93,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-12 10:00:00,25.91,25.91,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1997-11-22 13:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,1998-11-02 13:00:00,25.99,25.99,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2000-11-08 10:00:00,26.26,26.26,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2000-11-09 12:00:00,26.27,26.27,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2000-11-09 13:00:00,26.04,26.04,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2000-11-29 12:00:00,26.47,26.47,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2003-11-01 12:00:00,26.28,26.28,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2003-11-18 13:00:00,26.31,26.31,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2004-11-01 10:00:00,26.25,26.25,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2004-11-04 11:00:00,26.53,26.53,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2004-11-13 12:00:00,26.01,26.01,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2004-11-24 14:00:00,26.7,26.7,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2005-11-29 12:00:00,26.16,26.16,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2008-11-13 13:00:00,25.92,25.92,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-11-01 10:00:00,26.32,26.32,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2010-11-01 11:00:00,26.67,26.67,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-11-06 10:00:00,25.98,25.98,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-11-20 11:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-11-20 12:00:00,26.28,26.28,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2014-11-24 11:00:00,25.9,25.9,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2014-11-24 12:00:00,25.96,25.96,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-01 11:00:00,26.6,26.6,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-01 12:00:00,26.5,26.5,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-02 11:00:00,26.0,26.0,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-04 13:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-09 11:00:00,26.4,26.4,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-09 12:00:00,27.1,27.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-10 13:00:00,26.0,26.0,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-11 10:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-12 11:00:00,26.0,26.0,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-17 10:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-17 11:00:00,27.3,27.3,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-17 12:00:00,26.3,26.3,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-18 12:00:00,26.7,26.7,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-20 11:00:00,25.9,25.9,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2015-11-20 12:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-11-08 11:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-11-08 12:00:00,26.5,26.5,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-11-09 11:00:00,26.3,26.3,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-11-09 12:00:00,26.9,26.9,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-11-30 11:00:00,26.4,26.4,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-11-03 13:00:00,26.1,26.1,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-11-03 14:00:00,26.2,26.2,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-11-10 13:00:00,26.0,26.0,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-11-10 14:00:00,26.0,26.0,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2018-11-01 12:00:00,26.0,26.0,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2018-11-09 12:00:00,25.9,25.9,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2018-11-28 13:00:00,25.9,25.9,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2021-11-05 13:00:00,25.9,25.9,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2021-11-06 12:00:00,26.5,26.5,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2021-11-06 13:00:00,26.4,26.4,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2022-11-02 12:00:00,26.4,26.4,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2022-11-02 13:00:00,26.2,26.2,Mayor_a_25.89,dato_sospechoso,
Temp.degC.avg.1h.s1,2022-11-02 14:00:00,26.2,26.2,Mayor_a_25.89,dato_sospechoso,
